Baud, Errors
7978, 18991, 44
7979, 18991, 41
7980, 18991, 42
7981, 18991, 42
7982, 18991, 20
7983, 18991, 9
7984, 18991, 14
7985, 18991, 23
7986, 18991, 37
7987, 18991, 38
7988, 18991, 42
7989, 18991, 44
7990, 18991, 43
7991, 18991, 40
7992, 18991, 48
7993, 18991, 42
7994, 18991, 28
7995, 18991, 15
7996, 18991, 8
7997, 18991, 16
7998, 18991, 33
7999, 18991, 37
8000, 18991, 45
8001, 18991, 41
8002, 18991, 43
8003, 18991, 43
8004, 18991, 47
8005, 18991, 36
8006, 18991, 39
8007, 18991, 11
8008, 18991, 13
8009, 18991, 12
8010, 18991, 29
8011, 18991, 36
8012, 18991, 46
8013, 18991, 45
8014, 18991, 42
8015, 18991, 39
8016, 18991, 43
8017, 18991, 39
8018, 18991, 36
8019, 18991, 27
8020, 18991, 13
8021, 18991, 11
8022, 18991, 18
8023, 18991, 34
8024, 18991, 43
8025, 18991, 40
8026, 18991, 40
8027, 18991, 43
8028, 18991, 44
8029, 18991, 43
8030, 18991, 42
8031, 18991, 38
8032, 18991, 24
8033, 18991, 9
8034, 18991, 13
8035, 18991, 27
8036, 18991, 35
8037, 18991, 38
8038, 18991, 40
8039, 18991, 40
8040, 18991, 42
8041, 18991, 40
8042, 18991, 34
8043, 18991, 36
8044, 18991, 23
8045, 18991, 10
8046, 18991, 6
8047, 18991, 13
8048, 18991, 32
8049, 18991, 34
8050, 18991, 39
8051, 18991, 40
8052, 18991, 41
8053, 18991, 44
8054, 18991, 41
8055, 18991, 41
8056, 18991, 34
8057, 18991, 15
8058, 18991, 7
8059, 18991, 11
8060, 18991, 31
8061, 18991, 35
8062, 18991, 41
8063, 18991, 42
8064, 18991, 44
8065, 18991, 39
8066, 18991, 37
8067, 18991, 34
8068, 18991, 40
8069, 18991, 28
8070, 18991, 12
8071, 18991, 7
8072, 18991, 22
8073, 18991, 29
8074, 18991, 36
8075, 18991, 37
8076, 18991, 35
8077, 18991, 41
8078, 18991, 40
8079, 18991, 39
8080, 18991, 37
8081, 18991, 35
8082, 18991, 19
8083, 18991, 9
8084, 18991, 10
8085, 18991, 19
8086, 18991, 35
8087, 18991, 37
8088, 18991, 41
8089, 18991, 41
8090, 18991, 42
8091, 18991, 40
8092, 18991, 40
8093, 18991, 40
8094, 18991, 29
8095, 18991, 7
8096, 18991, 6
8097, 18991, 14
8098, 18991, 33
8099, 18991, 38
8100, 18991, 44
7900, 18992, 42
7901, 18992, 41
7902, 18992, 41
7903, 18992, 43
7904, 18992, 44
7905, 18992, 42
7906, 18992, 32
7907, 18992, 17
7908, 18992, 7
7909, 18992, 10
7910, 18992, 25
7911, 18992, 37
7912, 18992, 44
7913, 18992, 43
7914, 18992, 43
7915, 18992, 42
7916, 18992, 40
7917, 18992, 43
7918, 18992, 35
7919, 18992, 28
7920, 18992, 17
7921, 18992, 9
7922, 18992, 22
7923, 18992, 31
7924, 18992, 42
7925, 18992, 42
7926, 18992, 40
7927, 18992, 43
7928, 18992, 44
7929, 18992, 45
7930, 18992, 39
7931, 18992, 36
7932, 18992, 21
7933, 18992, 15
7934, 18992, 14
7935, 18992, 22
7936, 18992, 38
7937, 18992, 36
7938, 18992, 44
7939, 18992, 40
7940, 18992, 43
7941, 18992, 43
7942, 18992, 43
7943, 18992, 36
7944, 18992, 27
7945, 18992, 16
7946, 18992, 8
7947, 18992, 19
7948, 18992, 29
7949, 18992, 41
7950, 18992, 44
7951, 18992, 42
7952, 18992, 45
7953, 18992, 44
7954, 18992, 42
7955, 18992, 38
7956, 18992, 35
7957, 18992, 23
7958, 18992, 12
7959, 18992, 14
7960, 18992, 29
7961, 18992, 36
7962, 18992, 46
7963, 18992, 43
7964, 18992, 44
7965, 18992, 43
7966, 18992, 41
7967, 18992, 32
7968, 18992, 38
7969, 18992, 34
7970, 18992, 18
7971, 18992, 8
7972, 18992, 25
7973, 18992, 26
7974, 18992, 43
7975, 18992, 43
7976, 18992, 45
7977, 18992, 41
7978, 18992, 42
7979, 18992, 40
7980, 18992, 43
7981, 18992, 40
7982, 18992, 18
7983, 18992, 9
7984, 18992, 14
7985, 18992, 28
7986, 18992, 42
7987, 18992, 39
7988, 18992, 44
7989, 18992, 41
7990, 18992, 43
7991, 18992, 43
7992, 18992, 48
7993, 18992, 43
7994, 18992, 30
7995, 18992, 11
7996, 18992, 8
7997, 18992, 15
7998, 18992, 39
7999, 18992, 37
8000, 18992, 47
8001, 18992, 42
8002, 18992, 43
8003, 18992, 45
8004, 18992, 45
8005, 18992, 38
8006, 18992, 34
8007, 18992, 19
8008, 18992, 7
8009, 18992, 14
