Baud,Silence,Errors
7993.5, 6, 29
7994.0, 6, 29
7994.5, 6, 26
7995.0, 6, 14
7995.5, 6, 6
7996.0, 6, 8
7996.5, 6, 10
7997.0, 6, 17
7997.5, 6, 24
7998.0, 6, 31
7998.5, 6, 34
7999.0, 6, 40
7999.5, 6, 35
8000.0, 6, 44
8000.5, 6, 42
8001.0, 6, 43
8001.5, 6, 43
8002.0, 6, 42
8002.5, 6, 46
8003.0, 6, 43
8003.5, 6, 40
8004.0, 6, 44
8004.5, 6, 45
8005.0, 6, 37
8005.5, 6, 30
8006.0, 6, 32
8006.5, 6, 28
8007.0, 6, 14
8007.5, 6, 16
8008.0, 6, 13
8008.5, 6, 11
8009.0, 6, 13
8009.5, 6, 14
8010.0, 6, 30
7990.0, 7, 45
7990.5, 7, 44
7991.0, 7, 44
7991.5, 7, 42
7992.0, 7, 46
7992.5, 7, 43
7993.0, 7, 40
7993.5, 7, 34
7994.0, 7, 28
7994.5, 7, 25
7995.0, 7, 13
7995.5, 7, 5
7996.0, 7, 10
7996.5, 7, 11
7997.0, 7, 15
7997.5, 7, 25
7998.0, 7, 34
7998.5, 7, 35
7999.0, 7, 40
7999.5, 7, 39
8000.0, 7, 45
8000.5, 7, 44
8001.0, 7, 43
8001.5, 7, 44
8002.0, 7, 40
8002.5, 7, 44
8003.0, 7, 41
8003.5, 7, 39
8004.0, 7, 46
8004.5, 7, 46
8005.0, 7, 41
8005.5, 7, 31
8006.0, 7, 30
8006.5, 7, 27
8007.0, 7, 11
8007.5, 7, 12
8008.0, 7, 13
8008.5, 7, 11
8009.0, 7, 16
8009.5, 7, 15
8010.0, 7, 31
7990.0, 8, 42
7990.5, 8, 45
7991.0, 8, 43
7991.5, 8, 45
7992.0, 8, 48
7992.5, 8, 44
7993.0, 8, 38
7993.5, 8, 31
7994.0, 8, 28
7994.5, 8, 27
7995.0, 8, 15
7995.5, 8, 7
7996.0, 8, 10
7996.5, 8, 10
7997.0, 8, 17
7997.5, 8, 21
7998.0, 8, 29
7998.5, 8, 37
7999.0, 8, 38
7999.5, 8, 40
8000.0, 8, 45
8000.5, 8, 45
8001.0, 8, 45
8001.5, 8, 41
8002.0, 8, 42
8002.5, 8, 42
8003.0, 8, 45
8003.5, 8, 41
8004.0, 8, 45
8004.5, 8, 45
8005.0, 8, 41
8005.5, 8, 29
8006.0, 8, 32
8006.5, 8, 26
8007.0, 8, 17
8007.5, 8, 17
8008.0, 8, 11
8008.5, 8, 11
8009.0, 8, 15
8009.5, 8, 13
8010.0, 8, 30
7990.0, 9, 42
7990.5, 9, 44
7991.0, 9, 45
7991.5, 9, 44
7992.0, 9, 45
7992.5, 9, 43
7993.0, 9, 40
7993.5, 9, 30
7994.0, 9, 27
7994.5, 9, 23
7995.0, 9, 18
7995.5, 9, 7
7996.0, 9, 9
7996.5, 9, 9
7997.0, 9, 18
7997.5, 9, 20
7998.0, 9, 29
7998.5, 9, 38
7999.0, 9, 41
7999.5, 9, 40
8000.0, 9, 45
8000.5, 9, 44
8001.0, 9, 39
8001.5, 9, 40
8002.0, 9, 39
8002.5, 9, 42
8003.0, 9, 45
8003.5, 9, 43
8004.0, 9, 45
8004.5, 9, 45
8005.0, 9, 33
8005.5, 9, 30
8006.0, 9, 28
8006.5, 9, 25
8007.0, 9, 16
8007.5, 9, 18
8008.0, 9, 12
8008.5, 9, 12
8009.0, 9, 14
8009.5, 9, 14
8010.0, 9, 29
7990.0, 10, 44
7990.5, 10, 42
7991.0, 10, 44
7991.5, 10, 44
7992.0, 10, 46
7992.5, 10, 42
7993.0, 10, 40
7993.5, 10, 31
7994.0, 10, 27
7994.5, 10, 22
7995.0, 10, 17
7995.5, 10, 8
7996.0, 10, 8
7996.5, 10, 8
7997.0, 10, 16
7997.5, 10, 21
7998.0, 10, 32
7998.5, 10, 39
7999.0, 10, 42
7999.5, 10, 41
8000.0, 10, 44
8000.5, 10, 43
8001.0, 10, 41
8001.5, 10, 42
8002.0, 10, 40
8002.5, 10, 42
8003.0, 10, 44
8003.5, 10, 43
8004.0, 10, 43
8004.5, 10, 44
8005.0, 10, 37
8005.5, 10, 30
8006.0, 10, 28
8006.5, 10, 27
8007.0, 10, 18
8007.5, 10, 18
8008.0, 10, 13
8008.5, 10, 10
8009.0, 10, 15
8009.5, 10, 13
8010.0, 10, 29
7990.0, 11, 43
7990.5, 11, 44
7991.0, 11, 45
7991.5, 11, 44
7992.0, 11, 42
7992.5, 11, 45
7993.0, 11, 41
7993.5, 11, 29
7994.0, 11, 29
7994.5, 11, 23
7995.0, 11, 18
7995.5, 11, 7
7996.0, 11, 7
7996.5, 11, 11
7997.0, 11, 21
7997.5, 11, 24
7998.0, 11, 31
7998.5, 11, 38
7999.0, 11, 42
7999.5, 11, 43
8000.0, 11, 43
8000.5, 11, 43
8001.0, 11, 42
8001.5, 11, 44
8002.0, 11, 39
8002.5, 11, 40
8003.0, 11, 43
8003.5, 11, 42
8004.0, 11, 44
8004.5, 11, 45
8005.0, 11, 35
8005.5, 11, 31
8006.0, 11, 29
8006.5, 11, 27
8007.0, 11, 14
8007.5, 11, 18
8008.0, 11, 12
8008.5, 11, 12
8009.0, 11, 14
8009.5, 11, 14
8010.0, 11, 26
7990.0, 12, 43
7990.5, 12, 44
7991.0, 12, 45
7991.5, 12, 42
7992.0, 12, 41
7992.5, 12, 42
7993.0, 12, 40
7993.5, 12, 32
7994.0, 12, 28
7994.5, 12, 24
7995.0, 12, 16
7995.5, 12, 6
7996.0, 12, 9
7996.5, 12, 10
7997.0, 12, 16
7997.5, 12, 29
7998.0, 12, 32
7998.5, 12, 37
